t,sched,temp,sensor
0,1,19.969299080274055,-0.4025121108729501
1,1,19.981312486767187,-1.035356739723831
2,1,20.03041300901032,-0.13996185146815104
3,1,19.997975860342958,0.7310891075097645
4,1,19.937278691216164,-1.8667243565305371
5,1,19.98363606401834,-0.14918536710233377
6,1,20.04183108026468,-1.5959127356846743
7,1,19.998885861395838,1.339054608736993
8,1,20.004563359488184,0.008802276280476433
9,1,20.04559183140856,1.4070131387561018
10,1,20.106230515245773,-0.061587400615721044
11,1,19.980840566406588,-1.7541930541419175
12,1,20.085410340671707,-0.43335649654661784
13,1,19.957999361233007,3.3881502348614108
14,1,20.02974888113702,0.025183449707359293
15,1,19.96402352402438,1.0486377034550383
16,1,20.09157290922521,-0.8335820645803178
17,1,20.067196149835915,-0.3932736339211105
18,1,20.083885839232753,0.9157786892391663
19,1,19.984223342272227,1.3065869442864948
20,1,20.064227751274238,1.149604969143024
21,1,20.005549333508526,-1.080401305202436
22,1,20.010130734442406,-1.7160884145425266
23,1,20.059826853969938,-1.4931112814672756
24,1,20.079835908623437,-0.7574945455084586
25,1,20.04772101077027,-0.4094155708294878
26,1,20.00760064494947,0.4566003964253601
27,1,19.99920917395585,-1.9286172486617936
28,1,20.114215851291263,-1.4431864271708064
29,1,20.073197295535618,0.24775016358339536
30,1,20.080986396821423,0.017098237629817707
31,1,20.155674407135642,-0.3348049208635613
32,1,20.007206852568217,1.7564150640058183
33,1,20.177472889920292,-0.9898114178045135
34,1,20.20854540667699,0.9767223099339951
35,1,20.133420656013005,0.16024327465067878
36,1,20.09535532657776,-0.33111149963408526
37,1,20.02230890225548,-0.8806996013174608
38,1,20.10672428139101,-1.7351139401609634
39,1,20.036365392544823,-1.358930018117177
40,1,20.058917460510504,-0.3933356313857612
41,1,20.04697834113051,-0.9052886420575084
42,1,20.07719149782455,-0.8110479177283064
43,1,20.128903885772168,-0.12550781322376045
44,1,20.038220797106675,1.2298358999323313
45,1,20.018229808318484,0.4388080917207206
46,1,20.018852172412526,-0.02565503451974528
47,1,20.022086133639107,-1.072194555043673
48,1,20.000444850810183,-0.32572951514556425
49,1,20.027853296253035,0.23992807979674416
50,1,20.139663280825722,-0.7325221075998769
51,1,20.04683440158805,0.4168372825832294
52,1,20.09085538289432,-0.031436352041217544
53,1,20.018655301695542,0.5122928199178771
54,1,20.08948252899502,2.9779752216987556
55,1,19.99546092757352,0.18316964434850488
56,1,20.049062205126017,0.3866572340373891
57,1,20.198226946356414,-0.2769025091452374
